Designator,Mid X,Mid Y,Layer,Rotation
C3,20.158,7.0206,Top,180
J3,2.3,29.57,Top,270
R6,11.43,21.59,Top,90
R5,8.29,35.4478,Top,270
R4,8.29,32.8903,Top,270
R3,8.29,30.3954,Top,270
R2,8.29,27.8496,Top,270
R1,12.446,21.59,Top,270
L4,46.5834,31.6484,Top,0
L3,46.6494,44,Top,0
L2,46.7358,18.4912,Top,0
L1,46.6494,6,Top,0
J4,5.08,10.922,Top,270
J2,60.706,34.3154,Top,90
J1,60.706,15.9004,Top,90
C21,56.134,26.6484,Top,0
C20,37.6682,26.0788,Top,0
C19,34,28.3254,Top,90
C18,17.5768,29.151,Top,0
C17,37.6682,24.6126,Top,0
C16,17.5766,30.451,Top,0
C15,34,22.3,Top,270
C14,17.962,19.0625,Top,90
C13,19.0542,19.0498,Top,90
C12,16.9925,21.551,Top,0
C11,62.4332,40.7162,Top,180
C10,56.134,23.2918,Top,0
C9,30.7594,32.512,Top,180
C8,30.9072,34.5694,Top,180
C7,30.907,36.6776,Top,180
C6,30.7848,18.1356,Top,180
C5,30.9118,16.0782,Top,180
C4,30.9022,13.97,Top,180
C2,20.158,43,Top,180
C1,62.4537,8.6106,Top,180
B1,25.673,25.351,Top,0
